year_month,geography,segment,variety,timeframe,period,date,units_prior_year,units_current_year,unit_variance,dollars_prior_year,dollars_current_year,dollar_variance,avg_price_prior_year,avg_price_current_year,avg_price_variance
2019-08-01,West,avocados,hass,last 04 wks,8,2019-08-11,29692381.65,24673312.37,-0.17,33166893,36300060.35,0.09,1.11701693,1.471227689,0.32
2020-09-01,Richmond/Norfolk,avocados,hass,last 04 wks,9,2020-09-06,1310844.25,1665000.42,0.270174103,1581812.72,1553284.12,-0.018035384,1.206712941,0.93290314,-0.226905498
2018-03-01,Phoenix/Tucson,avocados,hass,last 04 wks,3,2018-03-25,4943587.94,6417184.89,0.298082479,3521984.38,4016680.12,0.140459379,0.71243486,0.625925572,-0.121427646
2018-10-01,Seattle,avocados,hass,last 04 wks,10,2018-10-07,1614998.19,2122510.88,0.314249696,3265107.23,3499113.9,0.071668908,2.021740489,1.648572892,-0.184577397
2018-04-01,Buffalo/Rochester,avocados,hass,last 04 wks,4,2018-04-22,691565.72,838424.62,0.212357113,1049775.43,954040,-0.091196105,1.517969153,1.137895974,-0.250382676
2018-02-01,WestTex/NewMexico,avocados,hass,last 04 wks,2,2018-02-25,4225596.08,4251933.2,0.006232759,3030891.48,3423725.06,0.129609913,0.717269569,0.805216098,0.122612937
2018-07-01,Tampa,avocados,hass,last 04 wks,7,2018-07-15,1571470.76,2371309.28,0.508974485,2195530.11,2759391.29,0.25682234,1.397118016,1.163657273,-0.167101662
2017-10-01,Southeast,avocados,hass,last 04 wks,10,2017-10-08,11536588.68,11915085.65,0.032808396,16870006.48,20751464.47,0.230080409,1.462304581,1.741612698,0.191005431
2020-09-01,Baltimore/Washington,avocados,hass,last 04 wks,9,2020-09-06,4102721.05,4481203.66,0.092251607,5772472.49,5272578.92,-0.086599559,1.406986344,1.176598816,-0.16374539
2019-06-01,Harrisburg/Scranton,avocados,hass,last 04 wks,6,2019-06-16,1586926.64,1481119.53,-0.07,1801369.09,1839635.88,0.02,1.135130664,1.242057675,0.09
2018-12-01,West,avocados,hass,last 04 wks,12,2018-12-02,22633521.34,20276046.18,-0.104158567,24112741.42,23705540.43,-0.016887378,1.065355278,1.169140187,0.097418121
2018-06-01,LasVegas,avocados,hass,last 04 wks,6,2018-06-17,1267770.23,1593879.24,0.257230374,1612243.21,1735718.16,0.076585809,1.271715625,1.088989753,-0.143684538
2018-01-01,Dallas/FtWorth,avocados,hass,last 04 wks,1,2018-01-28,5017685.29,5399231.73,0.076040329,3934048.66,4814132.04,0.223709327,0.784036549,0.891632788,0.137233703
2018-12-01,NorthernNewEngland,avocados,hass,last 04 wks,13,2018-12-30,1644310.76,1884343.59,0.145977777,2091345.8,2296817.54,0.098248573,1.271867734,1.218895297,-0.041649328
2018-06-01,Atlanta,avocados,hass,last 04 wks,6,2018-06-17,2135084.61,3083727.81,0.44431176,2892568.22,3073512.18,0.062554777,1.3547792,0.996687247,-0.264317576
2017-08-01,Houston,avocados,hass,last 04 wks,8,2017-08-13,4125530.57,4824000.35,0.169304231,3971059.01,4868007.24,0.225871292,0.962557165,1.009122489,0.048376684
2018-04-01,NewOrleans/Mobile,avocados,hass,last 04 wks,4,2018-04-22,1026584.86,1438676.09,0.401419548,1349703.86,1469616.51,0.088843674,1.314751379,1.021506175,-0.223042324
2020-06-01,GreatLakes,avocados,hass,last 04 wks,6,2020-06-14,18831719.03,24459059.31,0.298822443,23850748.92,27374121.65,0.147725874,1.266520007,1.119181294,-0.116333506
2019-03-01,SanFrancisco,avocados,hass,last 04 wks,3,2019-03-24,4059221.86,4047982.29,0,4925108.59,5255018.76,0.07,1.213313477,1.298182251,0.07
2017-09-01,LosAngeles,avocados,hass,last 04 wks,9,2017-09-10,11252908.32,8855119.64,-0.213081686,12071770.23,14509172.25,0.201909246,1.072768913,1.638506631,0.527362147
2019-01-01,Buffalo/Rochester,avocados,hass,last 04 wks,1,2019-01-06,688254.02,856463.71,0.24,885037.94,993071.55,0.12,1.285917574,1.159502193,-0.1
2019-05-01,GrandRapids,avocados,hass,last 04 wks,5,2019-05-19,917059.55,793882.68,-0.13,1183936.76,1241524,0.05,1.291014046,1.563863315,0.21
2017-09-01,Nashville,avocados,hass,last 04 wks,9,2017-09-10,877085.18,845947.03,-0.035501854,864108.58,1086519.73,0.257387966,0.985204858,1.284382699,0.303670693
2019-03-01,Nashville,avocados,hass,last 04 wks,3,2019-03-24,1210481.8,1222123.07,0.01,1161718.67,1078773.77,-0.07,0.959715933,0.882704694,-0.08
2017-10-01,Albany,avocados,hass,last 04 wks,10,2017-10-08,363828.58,309351.58,-0.149732602,464606.49,492890.59,0.06087754,1.276992835,1.59330232,0.247698715
2019-04-01,GreatLakes,avocados,hass,last 04 wks,4,2019-04-21,17563093.26,18020687.96,0.03,20756891.81,19542089.87,-0.06,1.181847155,1.084425296,-0.08
2019-04-01,Raleigh/Greensboro,avocados,hass,last 04 wks,4,2019-04-21,1603277.09,1773470,0.11,2031753.24,1974053.98,-0.03,1.267250217,1.11310255,-0.12
2018-01-01,SanDiego,avocados,hass,last 04 wks,1,2018-01-28,2378295.16,1965279.7,-0.173660304,2144700.95,2430301.38,0.133165619,0.901780816,1.236618574,0.371307253
2017-07-01,SanFrancisco,avocados,hass,last 04 wks,7,2017-07-16,3397205.46,3096570.1,-0.088494901,4997299.88,5196976.06,0.039956814,1.471003134,1.678300795,0.14092265
2017-01-01,LasVegas,avocados,hass,last 04 wks,1,2017-01-29,1167772.34,1309144.93,0.121061773,1077619.24,1318649.55,0.223669271,0.922799079,1.007260174,0.091527069
2017-10-01,GreatLakes,avocados,hass,last 04 wks,10,2017-10-08,10741363.68,9903112.95,-0.078039507,15916042.25,18589787.77,0.167990602,1.481752478,1.877166085,0.266855371
2018-02-01,SanFrancisco,avocados,hass,last 04 wks,2,2018-02-25,4091142.86,4677350.69,0.143287059,4403952.49,5001671.62,0.135723337,1.076460207,1.069338596,-0.006615768
2017-05-01,Houston,avocados,hass,last 04 wks,5,2017-05-21,5388826.7,5613155.56,0.041628516,3840220.67,5063063.64,0.318430391,0.712626493,0.901999523,0.265739532
2017-11-01,Baltimore/Washington,avocados,hass,last 04 wks,11,2017-11-05,2471027.69,2922338.1,0.182640774,4264429.67,4585043.78,0.07518335,1.725771705,1.568964173,-0.090862269
2019-05-01,Richmond/Norfolk,avocados,hass,last 04 wks,5,2019-05-19,1787617.35,1455809.98,-0.19,1707434.75,1681152.16,-0.02,0.955145546,1.154788182,0.21
2019-02-01,Albany,avocados,hass,last 04 wks,2,2019-02-24,545814.07,591660.96,0.08,727521.8,630650.25,-0.13,1.332911407,1.065898027,-0.2
2018-02-01,Hartford/Springfield,avocados,hass,last 04 wks,2,2018-02-25,1490223.83,1449728.37,-0.027174079,1879239.63,2123051.9,0.129739851,1.261045215,1.464448061,0.161297028
2018-09-01,Columbus,avocados,hass,last 04 wks,9,2018-09-09,680010.76,853281.53,0.254805924,974189.81,1072620.61,0.101038626,1.432609405,1.257053589,-0.122542694
2018-09-01,Dallas/FtWorth,avocados,hass,last 04 wks,9,2018-09-09,4379210.1,5250966.28,0.199066992,5055967.72,5270026.04,0.042337754,1.154538742,1.003629762,-0.130709325
2019-08-01,Spokane,avocados,hass,last 04 wks,8,2019-08-11,416603.18,349123.86,-0.16,571602.43,587842.76,0.03,1.372054889,1.683765641,0.23
2018-07-01,Chicago,avocados,hass,last 04 wks,7,2018-07-15,3677464.77,4108648.01,0.117250135,5591529.69,4614703.5,-0.174697488,1.52048491,1.123168373,-0.261309096
2018-06-01,NorthernNewEngland,avocados,hass,last 04 wks,6,2018-06-17,1840316.5,3138391.81,0.705354383,2953246.78,3173403.09,0.074547211,1.60474939,1.011155803,-0.369897998
2019-09-01,NewYork,avocados,hass,last 04 wks,9,2019-09-08,7314552.1,7573283.59,0.04,10033717.26,11613191.13,0.16,1.371747323,1.533441999,0.12
2019-03-01,Phoenix/Tucson,avocados,hass,last 04 wks,3,2019-03-24,6417184.89,5859479.36,-0.09,4016680.12,4356463.99,0.09,0.625925572,0.743489945,0.19
2017-12-01,SanDiego,avocados,hass,last 04 wks,13,2017-12-31,1775492.79,2218327.29,0.249414981,1802410.13,2181779.35,0.210478855,1.01516049,0.98352455,-0.031163486
2018-09-01,Boston,avocados,hass,last 04 wks,9,2018-09-09,1876013.85,2740293.86,0.460700229,3272948.06,3984854.09,0.217512169,1.744628943,1.454170353,-0.166487316
2020-06-01,Baltimore/Washington,avocados,hass,last 04 wks,6,2020-06-14,3906395.87,5416086.88,0.386466467,5861373.78,7132036.81,0.216785873,1.500455657,1.316824668,-0.122383482
2020-03-01,Jacksonville,avocados,hass,last 04 wks,3,2020-03-22,1091814.78,1054594.83,-0.034089985,1104164.59,1221751.15,0.106493689,1.011311268,1.158502882,0.145545312
2018-01-01,Boston,avocados,hass,last 04 wks,1,2018-01-28,2627079.96,3132006.25,0.192200579,3285585.89,3931595.96,0.196619444,1.250660787,1.255296333,0.003706477
